"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2021","4,566.48","4,553.69","4,572.62","4,537.36","-","0.47%"
"Oct 22, 2021","4,544.90","4,546.12","4,559.67","4,524.00","-","-0.11%"
"Oct 21, 2021","4,549.78","4,532.24","4,551.44","4,526.89","-","0.30%"
"Oct 20, 2021","4,536.19","4,524.42","4,540.87","4,524.40","-","0.37%"
"Oct 19, 2021","4,519.63","4,497.34","4,520.40","4,496.41","-","0.74%"
"Oct 18, 2021","4,486.48","4,463.72","4,488.75","4,447.47","-","0.34%"
"Oct 15, 2021","4,471.37","4,447.69","4,475.82","4,447.69","-","0.75%"
"Oct 14, 2021","4,438.23","4,386.75","4,439.73","4,386.75","-","1.71%"
"Oct 13, 2021","4,363.80","4,358.01","4,372.87","4,329.92","-","0.30%"
"Oct 12, 2021","4,350.64","4,368.31","4,374.89","4,342.09","-","-0.24%"
"Oct 11, 2021","4,361.19","4,385.44","4,415.88","4,360.59","-","-0.69%"
"Oct 08, 2021","4,391.36","4,406.51","4,412.02","4,386.22","-","-0.19%"
"Oct 07, 2021","4,399.76","4,383.73","4,429.97","4,383.73","-","0.83%"
"Oct 06, 2021","4,363.55","4,319.57","4,365.57","4,290.49","-","0.41%"
"Oct 05, 2021","4,345.72","4,309.87","4,369.23","4,309.87","-","1.05%"
"Oct 04, 2021","4,300.46","4,348.84","4,355.51","4,278.94","-","-1.30%"
"Oct 01, 2021","4,357.05","4,317.16","4,375.19","4,288.52","-","1.15%"